Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec),
0.001,0.006,1,0,180,3.142,225.077,
10,62.832,1,0,179.19,3.127,225.099,
10.116,63.559,1,0,179.18,3.127,225.1,
10.233,64.295,1,0,179.171,3.127,225.1,
10.351,65.04,1,0,179.161,3.127,225.101,
10.471,65.793,1,0,179.152,3.127,225.102,
10.593,66.555,1,0,179.142,3.127,225.102,
10.715,67.326,1,0,179.132,3.126,225.103,
10.839,68.105,1,0,179.122,3.126,225.103,
10.965,68.894,1,0,179.112,3.126,225.104,
11.092,69.692,1,0,179.101,3.126,225.105,
11.22,70.498,1,0,179.091,3.126,225.105,
11.35,71.315,1,0,179.08,3.126,225.106,
11.482,72.141,1,0,179.07,3.125,225.107,
11.614,72.976,1,0,179.059,3.125,225.107,
11.749,73.821,1,0,179.048,3.125,225.108,
11.885,74.676,1,0,179.037,3.125,225.109,
12.023,75.541,1,0,179.026,3.125,225.109,
12.162,76.415,1,0,179.015,3.124,225.11,
12.303,77.3,1,0,179.003,3.124,225.111,
12.445,78.195,1,0,178.992,3.124,225.112,
12.589,79.101,1,0,178.98,3.124,225.113,
12.735,80.017,1,0,178.968,3.124,225.113,
12.882,80.943,1,0,178.956,3.123,225.114,
13.032,81.88,1,0,178.944,3.123,225.115,
13.183,82.829,1,0,178.932,3.123,225.116,
13.335,83.788,1,0,178.919,3.123,225.117,
13.49,84.758,1,0,178.907,3.123,225.118,
13.646,85.739,1,0,178.894,3.122,225.119,
13.804,86.732,1,0,178.881,3.122,225.12,
13.964,87.736,1,0,178.868,3.122,225.121,
14.125,88.752,1,0,178.855,3.122,225.122,
14.289,89.78,1,0,178.842,3.121,225.123,
14.454,90.82,1,0,178.829,3.121,225.124,
14.622,91.871,1,0,178.815,3.121,225.125,
14.791,92.935,1,0,178.801,3.121,225.126,
14.962,94.011,1,0,178.788,3.12,225.127,
15.136,95.1,1,0,178.774,3.12,225.128,
15.311,96.201,1,0,178.759,3.12,225.13,
15.488,97.315,1,0,178.745,3.12,225.131,
15.668,98.442,1,0,178.73,3.119,225.132,
15.849,99.582,1,0,178.716,3.119,225.133,
16.032,100.735,1,0,178.701,3.119,225.135,
16.218,101.901,1,0,178.686,3.119,225.136,
16.406,103.081,1,0,178.671,3.118,225.137,
16.596,104.275,1,0,178.655,3.118,225.139,
16.788,105.482,1,0,178.64,3.118,225.14,
16.982,106.704,1,0,178.624,3.118,225.142,
17.179,107.939,1,0,178.608,3.117,225.143,
17.378,109.189,1,0,178.592,3.117,225.145,
17.579,110.454,1,0,178.575,3.117,225.146,
17.783,111.733,1,0,178.559,3.116,225.148,
17.989,113.026,1,0,178.542,3.116,225.15,
18.197,114.335,1,0,178.525,3.116,225.151,
18.408,115.659,1,0,178.508,3.116,225.153,
18.621,116.998,1,0,178.491,3.115,225.155,
18.836,118.353,1,0,178.474,3.115,225.157,
19.055,119.724,1,0,178.456,3.115,225.159,
19.275,121.11,1,0,178.438,3.114,225.161,
19.498,122.512,1,0,178.42,3.114,225.162,
19.724,123.931,1,0,178.402,3.114,225.164,
19.953,125.366,1,0,178.383,3.113,225.166,
20.184,126.818,1,0,178.364,3.113,225.169,
20.417,128.286,1,0,178.345,3.113,225.171,
20.654,129.772,1,0,178.326,3.112,225.173,
20.893,131.274,1,0,178.307,3.112,225.175,
21.135,132.794,1,0,178.287,3.112,225.177,
21.38,134.332,1,0,178.267,3.111,225.18,
21.627,135.888,1,0,178.247,3.111,225.182,
21.878,137.461,1,0,178.227,3.111,225.185,
22.131,139.053,1,0,178.206,3.11,225.187,
22.387,140.663,1,0,178.186,3.11,225.19,
22.646,142.292,1,0,178.165,3.11,225.192,
22.909,143.939,1,0,178.143,3.109,225.195,
23.174,145.606,1,0,178.122,3.109,225.198,
23.442,147.292,1,0,178.1,3.108,225.201,
23.714,148.998,1,0,178.078,3.108,225.203,
23.988,150.723,1,0,178.056,3.108,225.206,
24.266,152.468,1,0,178.033,3.107,225.209,
24.547,154.234,1,0,178.011,3.107,225.212,
24.831,156.02,1,0,177.988,3.106,225.216,
25.119,157.826,1,0,177.964,3.106,225.219,
25.41,159.654,1,0,177.941,3.106,225.222,
25.704,161.503,1,0,177.917,3.105,225.226,
26.002,163.373,1,0,177.893,3.105,225.229,
26.303,165.265,1,0,177.868,3.104,225.233,
26.607,167.178,1,0,177.844,3.104,225.236,
26.915,169.114,1,0,177.819,3.104,225.24,
27.227,171.072,1,0,177.793,3.103,225.244,
27.542,173.053,1,0,177.768,3.103,225.248,
27.861,175.057,1,0,177.742,3.102,225.252,
28.184,177.084,1,0,177.716,3.102,225.256,
28.51,179.135,1,0,177.689,3.101,225.26,
28.84,181.209,1,0,177.662,3.101,225.264,
29.174,183.307,1,0,177.635,3.1,225.268,
29.512,185.43,1,0,177.608,3.1,225.273,
29.854,187.577,1,0,177.58,3.099,225.277,
30.2,189.749,1,0,177.552,3.099,225.282,
30.549,191.946,1,0,177.524,3.098,225.287,
30.903,194.169,1,0,177.495,3.098,225.292,
31.261,196.417,1,0,177.466,3.097,225.297,
31.623,198.692,1,0,177.437,3.097,225.302,
31.989,200.993,1,0,177.407,3.096,225.307,
32.359,203.32,1,0,177.377,3.096,225.312,
32.734,205.674,1,0,177.347,3.095,225.318,
33.113,208.056,1,0,177.316,3.095,225.323,
33.497,210.465,1,0,177.285,3.094,225.329,
33.884,212.902,1,0,177.253,3.094,225.335,
34.277,215.367,1,0,177.222,3.093,225.341,
34.674,217.861,1,0,177.189,3.093,225.347,
35.075,220.384,1,0,177.157,3.092,225.353,
35.481,222.936,1,0,177.124,3.091,225.36,
35.892,225.517,1,0,177.09,3.091,225.367,
36.308,228.129,1,0,177.057,3.09,225.373,
36.728,230.77,1,0,177.023,3.09,225.38,
37.154,233.442,1,0,176.988,3.089,225.387,
37.584,236.146,1,0,176.953,3.088,225.394,
38.019,238.88,1,0,176.918,3.088,225.402,
38.459,241.646,1,0,176.882,3.087,225.409,
38.905,244.444,1,0,176.846,3.087,225.417,
39.355,247.275,1,0,176.81,3.086,225.425,
39.811,250.138,1,0,176.773,3.085,225.433,
40.272,253.035,1,0,176.735,3.085,225.441,
40.738,255.965,1,0,176.697,3.084,225.45,
41.21,258.929,1,0,176.659,3.083,225.459,
41.687,261.927,1,0,176.62,3.083,225.467,
42.17,264.96,1,0,176.581,3.082,225.476,
42.658,268.028,1,0,176.541,3.081,225.486,
43.152,271.131,1,0,176.501,3.081,225.495,
43.652,274.271,1,0,176.461,3.08,225.505,
44.157,277.447,1,0,176.42,3.079,225.515,
44.668,280.66,1,0,176.378,3.078,225.525,
45.186,283.909,1,0,176.336,3.078,225.536,
45.709,287.197,1,0,176.294,3.077,225.546,
46.238,290.523,1,0,176.251,3.076,225.557,
46.774,293.887,1,0,176.207,3.075,225.568,
47.315,297.29,1,0,176.163,3.075,225.58,
47.863,300.732,1,0,176.119,3.074,225.591,
48.417,304.214,1,0,176.074,3.073,225.603,
48.978,307.737,1,0,176.028,3.072,225.616,
49.545,311.301,1,0,175.982,3.071,225.628,
50.119,314.905,1,0,175.936,3.071,225.641,
50.699,318.552,1,0,175.888,3.07,225.654,
51.286,322.24,1,0,175.841,3.069,225.667,
51.88,325.972,1,0,175.793,3.068,225.681,
52.481,329.746,1,0,175.744,3.067,225.695,
53.088,333.565,1,0,175.694,3.066,225.71,
53.703,337.427,1,0,175.644,3.066,225.724,
54.325,341.334,1,0,175.594,3.065,225.739,
54.954,345.287,1,0,175.543,3.064,225.755,
55.59,349.285,1,0,175.491,3.063,225.77,
56.234,353.329,1,0,175.439,3.062,225.786,
56.885,357.421,1,0,175.386,3.061,225.803,
57.544,361.56,1,0,175.332,3.06,225.82,
58.21,365.746,1,0,175.278,3.059,225.837,
58.884,369.981,1,0,175.223,3.058,225.855,
59.566,374.266,1,0,175.168,3.057,225.873,
60.256,378.599,1,0,175.112,3.056,225.891,
60.954,382.983,1,0,175.055,3.055,225.91,
61.66,387.418,1,0,174.998,3.054,225.929,
62.373,391.904,1,0,174.939,3.053,225.949,
63.096,396.442,1,0,174.881,3.052,225.969,
63.826,401.033,1,0,174.821,3.051,225.99,
64.565,405.677,1,0,174.761,3.05,226.011,
65.313,410.374,1,0,174.7,3.049,226.033,
66.069,415.126,1,0,174.639,3.048,226.055,
66.834,419.933,1,0,174.577,3.047,226.078,
67.608,424.795,1,0,174.514,3.046,226.101,
68.391,429.714,1,0,174.45,3.045,226.125,
69.183,434.69,1,0,174.385,3.044,226.149,
69.984,439.724,1,0,174.32,3.042,226.174,
70.795,444.815,1,0,174.254,3.041,226.199,
71.614,449.966,1,0,174.187,3.04,226.225,
72.444,455.177,1,0,174.12,3.039,226.252,
73.282,460.447,1,0,174.051,3.038,226.279,
74.131,465.779,1,0,173.982,3.037,226.307,
74.989,471.172,1,0,173.912,3.035,226.336,
75.858,476.628,1,0,173.842,3.034,226.365,
76.736,482.147,1,0,173.77,3.033,226.394,
77.625,487.73,1,0,173.698,3.032,226.425,
78.524,493.378,1,0,173.624,3.03,226.456,
79.433,499.091,1,0,173.55,3.029,226.488,
80.353,504.87,1,0,173.475,3.028,226.521,
81.283,510.716,1,0,173.399,3.026,226.554,
82.224,516.63,1,0,173.323,3.025,226.588,
83.176,522.613,1,0,173.245,3.024,226.623,
84.14,528.664,1,0,173.166,3.022,226.659,
85.114,534.786,1,0,173.087,3.021,226.696,
86.099,540.978,1,0,173.006,3.02,226.733,
87.096,547.243,1,0,172.925,3.018,226.771,
88.105,553.579,1,0,172.843,3.017,226.81,
89.125,559.989,1,0,172.759,3.015,226.851,
90.157,566.474,1,0,172.675,3.014,226.891,
91.201,573.033,1,0,172.59,3.012,226.933,
92.257,579.669,1,0,172.504,3.011,226.976,
93.325,586.381,1,0,172.416,3.009,227.02,
94.406,593.171,1,0,172.328,3.008,227.065,
95.499,600.04,1,0,172.239,3.006,227.111,
96.605,606.988,1,0,172.148,3.005,227.158,
97.724,614.016,1,0,172.057,3.003,227.206,
98.855,621.126,1,0,171.964,3.001,227.255,
100,628.319,1,0,171.87,3,227.305,
101.158,635.594,1,0,171.776,2.998,227.356,
102.329,642.954,1,0,171.68,2.996,227.409,
103.514,650.399,1,0,171.583,2.995,227.463,
104.713,657.93,1,-0.001,171.485,2.993,227.518,
105.925,665.549,1,-0.001,171.385,2.991,227.574,
107.152,673.255,1,-0.001,171.285,2.989,227.631,
108.393,681.051,1,-0.001,171.183,2.988,227.69,
109.648,688.938,1,-0.001,171.08,2.986,227.75,
110.917,696.915,1,-0.001,170.976,2.984,227.812,
112.202,704.985,1,-0.001,170.871,2.982,227.874,
113.501,713.148,1,-0.001,170.764,2.98,227.939,
114.815,721.406,1,-0.001,170.656,2.979,228.005,
116.145,729.76,1,-0.001,170.547,2.977,228.072,
117.49,738.21,1,-0.001,170.437,2.975,228.14,
118.85,746.758,1,-0.001,170.325,2.973,228.211,
120.226,755.405,1,-0.001,170.212,2.971,228.283,
121.619,764.152,1,-0.001,170.097,2.969,228.356,
123.027,773.001,1,-0.001,169.982,2.967,228.431,
124.451,781.952,1,-0.001,169.864,2.965,228.508,
125.893,791.006,1,-0.001,169.746,2.963,228.587,
127.35,800.166,1,-0.001,169.626,2.961,228.667,
128.825,809.431,1,-0.001,169.504,2.958,228.749,
130.317,818.804,1,-0.001,169.382,2.956,228.833,
131.826,828.285,1,-0.001,169.257,2.954,228.919,
133.352,837.876,1,-0.001,169.131,2.952,229.007,
134.896,847.578,1,-0.001,169.004,2.95,229.097,
136.458,857.393,1,-0.002,168.875,2.947,229.189,
138.038,867.321,1,-0.002,168.745,2.945,229.283,
139.637,877.364,1,-0.002,168.613,2.943,229.379,
141.254,887.524,1,-0.002,168.479,2.941,229.477,
142.889,897.801,1,-0.002,168.344,2.938,229.577,
144.544,908.197,1,-0.002,168.207,2.936,229.679,
146.218,918.713,1,-0.002,168.069,2.933,229.784,
147.911,929.351,1,-0.002,167.929,2.931,229.891,
149.624,940.113,1,-0.002,167.787,2.928,230.001,
151.356,950.999,1,-0.002,167.644,2.926,230.113,
153.109,962.011,1,-0.002,167.498,2.923,230.227,
154.882,973.15,1,-0.002,167.351,2.921,230.344,
156.675,984.419,1,-0.003,167.203,2.918,230.463,
158.489,995.818,1,-0.003,167.052,2.916,230.585,
160.325,1007.349,1,-0.003,166.9,2.913,230.71,
162.181,1019.013,1,-0.003,166.745,2.91,230.838,
164.059,1030.813,1,-0.003,166.589,2.908,230.968,
165.959,1042.749,1,-0.003,166.431,2.905,231.101,
167.88,1054.824,1,-0.003,166.271,2.902,231.237,
169.824,1067.038,1,-0.004,166.11,2.899,231.376,
171.791,1079.394,1,-0.004,165.946,2.896,231.518,
173.78,1091.892,1,-0.004,165.78,2.893,231.663,
175.792,1104.536,1,-0.004,165.612,2.89,231.811,
177.828,1117.326,1,-0.004,165.442,2.888,231.963,
179.887,1130.264,0.999,-0.005,165.27,2.885,232.117,
181.97,1143.352,0.999,-0.005,165.096,2.881,232.276,
184.077,1156.591,0.999,-0.005,164.92,2.878,232.437,
186.209,1169.984,0.999,-0.005,164.741,2.875,232.602,
188.365,1183.532,0.999,-0.005,164.561,2.872,232.77,
190.546,1197.236,0.999,-0.006,164.378,2.869,232.942,
192.752,1211.1,0.999,-0.006,164.193,2.866,233.118,
194.984,1225.123,0.999,-0.006,164.005,2.862,233.297,
197.242,1239.31,0.999,-0.007,163.816,2.859,233.48,
199.526,1253.66,0.999,-0.007,163.624,2.856,233.667,
201.837,1268.177,0.999,-0.007,163.429,2.852,233.858,
204.174,1282.862,0.999,-0.008,163.232,2.849,234.053,
206.538,1297.717,0.999,-0.008,163.033,2.845,234.252,
208.93,1312.743,0.999,-0.008,162.831,2.842,234.456,
211.349,1327.944,0.999,-0.009,162.627,2.838,234.663,
213.796,1343.321,0.999,-0.009,162.42,2.835,234.875,
216.272,1358.876,0.999,-0.009,162.211,2.831,235.091,
218.776,1374.611,0.999,-0.01,161.999,2.827,235.311,
221.309,1390.528,0.999,-0.01,161.784,2.824,235.536,
223.872,1406.63,0.999,-0.011,161.567,2.82,235.766,
226.464,1422.918,0.999,-0.011,161.346,2.816,236,
229.087,1439.395,0.999,-0.012,161.123,2.812,236.239,
231.739,1456.062,0.999,-0.012,160.898,2.808,236.483,
234.423,1472.922,0.998,-0.013,160.669,2.804,236.731,
237.137,1489.978,0.998,-0.014,160.438,2.8,236.985,
239.883,1507.231,0.998,-0.014,160.203,2.796,237.244,
242.661,1524.684,0.998,-0.015,159.966,2.792,237.507,
245.471,1542.339,0.998,-0.016,159.726,2.788,237.776,
248.313,1560.199,0.998,-0.016,159.482,2.783,238.051,
251.189,1578.265,0.998,-0.017,159.236,2.779,238.33,
254.097,1596.54,0.998,-0.018,158.986,2.775,238.615,
257.04,1615.027,0.998,-0.019,158.733,2.77,238.905,
260.016,1633.728,0.998,-0.02,158.477,2.766,239.201,
263.027,1652.646,0.998,-0.021,158.217,2.761,239.503,
266.073,1671.783,0.998,-0.022,157.955,2.757,239.81,
269.153,1691.141,0.997,-0.023,157.688,2.752,240.123,
272.27,1710.724,0.997,-0.024,157.419,2.747,240.441,
275.423,1730.533,0.997,-0.025,157.146,2.743,240.766,
278.612,1750.572,0.997,-0.026,156.869,2.738,241.096,
281.838,1770.842,0.997,-0.027,156.589,2.733,241.433,
285.102,1791.348,0.997,-0.029,156.305,2.728,241.775,
288.403,1812.09,0.997,-0.03,156.018,2.723,242.124,
291.743,1833.073,0.996,-0.031,155.726,2.718,242.478,
295.121,1854.299,0.996,-0.033,155.431,2.713,242.839,
298.538,1875.771,0.996,-0.034,155.132,2.708,243.206,
301.995,1897.492,0.996,-0.036,154.829,2.702,243.579,
305.492,1919.464,0.996,-0.038,154.522,2.697,243.958,
309.03,1941.69,0.995,-0.039,154.211,2.691,244.344,
312.608,1964.174,0.995,-0.041,153.896,2.686,244.736,
316.228,1986.918,0.995,-0.043,153.577,2.68,245.134,
319.89,2009.925,0.995,-0.045,153.254,2.675,245.539,
323.594,2033.199,0.995,-0.047,152.926,2.669,245.95,
327.341,2056.742,0.994,-0.05,152.594,2.663,246.367,
331.131,2080.558,0.994,-0.052,152.258,2.657,246.79,
334.965,2104.65,0.994,-0.054,151.917,2.651,247.22,
338.844,2129.021,0.993,-0.057,151.571,2.645,247.656,
342.768,2153.674,0.993,-0.06,151.221,2.639,248.098,
346.737,2178.612,0.993,-0.062,150.866,2.633,248.546,
350.752,2203.839,0.993,-0.065,150.507,2.627,249,
354.813,2229.358,0.992,-0.068,150.142,2.62,249.46,
358.922,2255.173,0.992,-0.071,149.773,2.614,249.926,
363.078,2281.287,0.991,-0.075,149.399,2.607,250.398,
367.282,2307.703,0.991,-0.078,149.019,2.601,250.875,
371.535,2334.425,0.991,-0.082,148.635,2.594,251.358,
375.837,2361.456,0.99,-0.086,148.245,2.587,251.846,
380.189,2388.8,0.99,-0.09,147.85,2.58,252.34,
384.592,2416.461,0.989,-0.094,147.45,2.573,252.838,
389.045,2444.443,0.989,-0.098,147.044,2.566,253.341,
393.55,2472.748,0.988,-0.103,146.633,2.559,253.849,
398.107,2501.381,0.988,-0.108,146.216,2.552,254.361,
402.717,2530.346,0.987,-0.113,145.793,2.545,254.878,
407.38,2559.646,0.987,-0.118,145.365,2.537,255.398,
412.098,2589.285,0.986,-0.123,144.931,2.53,255.921,
416.869,2619.268,0.985,-0.129,144.491,2.522,256.448,
421.697,2649.597,0.985,-0.135,144.045,2.514,256.977,
426.58,2680.278,0.984,-0.141,143.593,2.506,257.509,
431.519,2711.314,0.983,-0.148,143.134,2.498,258.043,
436.516,2742.71,0.982,-0.155,142.669,2.49,258.578,
441.57,2774.469,0.982,-0.162,142.198,2.482,259.114,
446.684,2806.596,0.981,-0.17,141.721,2.473,259.651,
451.856,2839.095,0.98,-0.177,141.237,2.465,260.187,
457.088,2871.97,0.979,-0.186,140.746,2.456,260.723,
462.381,2905.226,0.978,-0.194,140.249,2.448,261.258,
467.735,2938.867,0.977,-0.203,139.745,2.439,261.791,
473.151,2972.897,0.976,-0.212,139.234,2.43,262.32,
478.63,3007.322,0.975,-0.222,138.716,2.421,262.847,
484.172,3042.145,0.974,-0.232,138.191,2.412,263.369,
489.779,3077.371,0.972,-0.243,137.659,2.403,263.886,
495.45,3113.005,0.971,-0.254,137.12,2.393,264.398,
501.187,3149.052,0.97,-0.266,136.573,2.384,264.902,
506.991,3185.517,0.969,-0.278,136.019,2.374,265.399,
512.861,3222.403,0.967,-0.29,135.458,2.364,265.886,
518.8,3259.717,0.966,-0.304,134.889,2.354,266.364,
524.807,3297.463,0.964,-0.318,134.312,2.344,266.83,
530.884,3335.645,0.963,-0.332,133.728,2.334,267.284,
537.032,3374.27,0.961,-0.347,133.136,2.324,267.724,
543.25,3413.343,0.959,-0.363,132.536,2.313,268.15,
549.541,3452.867,0.957,-0.379,131.929,2.303,268.559,
555.904,3492.849,0.955,-0.396,131.313,2.292,268.951,
562.341,3533.295,0.953,-0.414,130.689,2.281,269.323,
568.853,3574.208,0.951,-0.432,130.057,2.27,269.675,
575.44,3615.596,0.949,-0.452,129.418,2.259,270.005,
582.103,3657.462,0.947,-0.472,128.769,2.247,270.311,
588.844,3699.814,0.945,-0.493,128.113,2.236,270.591,
595.662,3742.656,0.942,-0.515,127.449,2.224,270.844,
602.56,3785.994,0.94,-0.538,126.776,2.213,271.068,
609.537,3829.833,0.937,-0.562,126.095,2.201,271.26,
616.595,3874.181,0.935,-0.586,125.405,2.189,271.421,
623.735,3919.042,0.932,-0.612,124.707,2.177,271.546,
630.957,3964.422,0.929,-0.639,124.001,2.164,271.635,
638.263,4010.328,0.926,-0.667,123.287,2.152,271.685,
645.654,4056.765,0.923,-0.696,122.564,2.139,271.694,
653.131,4103.74,0.92,-0.726,121.833,2.126,271.66,
660.693,4151.259,0.916,-0.757,121.093,2.113,271.582,
668.344,4199.329,0.913,-0.79,120.345,2.1,271.457,
676.083,4247.955,0.909,-0.824,119.589,2.087,271.283,
683.912,4297.144,0.906,-0.859,118.825,2.074,271.057,
691.831,4346.902,0.902,-0.896,118.053,2.06,270.779,
699.842,4397.237,0.898,-0.934,117.272,2.047,270.445,
707.946,4448.155,0.894,-0.973,116.484,2.033,270.053,
716.143,4499.662,0.89,-1.014,115.687,2.019,269.603,
724.436,4551.765,0.885,-1.056,114.883,2.005,269.091,
732.825,4604.472,0.881,-1.1,114.072,1.991,268.515,
741.31,4657.79,0.876,-1.146,113.252,1.977,267.875,
749.894,4711.724,0.872,-1.193,112.425,1.962,267.167,
758.578,4766.283,0.867,-1.242,111.592,1.948,266.391,
767.361,4821.474,0.862,-1.293,110.75,1.933,265.544,
776.247,4877.304,0.857,-1.345,109.902,1.918,264.626,
785.236,4933.781,0.851,-1.399,109.048,1.903,263.634,
794.328,4990.911,0.846,-1.455,108.187,1.888,262.567,
803.526,5048.704,0.84,-1.513,107.319,1.873,261.425,
812.831,5107.165,0.834,-1.573,106.445,1.858,260.206,
822.243,5166.303,0.828,-1.635,105.566,1.842,258.91,
831.764,5226.126,0.822,-1.699,104.681,1.827,257.535,
841.395,5286.642,0.816,-1.764,103.79,1.811,256.081,
851.138,5347.858,0.81,-1.832,102.895,1.796,254.549,
860.994,5409.783,0.803,-1.902,101.994,1.78,252.937,
870.964,5472.426,0.797,-1.974,101.09,1.764,251.246,
881.049,5535.793,0.79,-2.048,100.181,1.748,249.476,
891.251,5599.895,0.783,-2.124,99.268,1.733,247.627,
901.571,5664.739,0.776,-2.203,98.351,1.717,245.701,
912.011,5730.333,0.769,-2.283,97.432,1.701,243.698,
922.571,5796.687,0.762,-2.366,96.509,1.684,241.619,
933.254,5863.81,0.754,-2.452,95.584,1.668,239.466,
944.061,5931.709,0.747,-2.539,94.657,1.652,237.239,
954.993,6000.395,0.739,-2.629,93.728,1.636,234.942,
966.051,6069.877,0.731,-2.721,92.797,1.62,232.575,
977.237,6140.163,0.723,-2.815,91.865,1.603,230.141,
988.553,6211.262,0.715,-2.911,90.933,1.587,227.642,
1000,6283.185,0.707,-3.01,90,1.571,225.081,
1011.579,6355.941,0.699,-3.111,89.067,1.555,222.461,
1023.293,6429.539,0.691,-3.215,88.135,1.538,219.783,
1035.142,6503.99,0.682,-3.321,87.203,1.522,217.052,
1047.129,6579.303,0.674,-3.429,86.272,1.506,214.269,
1059.254,6655.487,0.665,-3.539,85.343,1.49,211.44,
1071.519,6732.554,0.657,-3.652,84.416,1.473,208.566,
1083.927,6810.514,0.648,-3.766,83.491,1.457,205.651,
1096.478,6889.376,0.639,-3.883,82.568,1.441,202.699,
1109.175,6969.151,0.631,-4.003,81.649,1.425,199.713,
1122.018,7049.85,0.622,-4.124,80.732,1.409,196.697,
1135.011,7131.483,0.613,-4.248,79.819,1.393,193.655,
1148.154,7214.062,0.604,-4.374,78.91,1.377,190.589,
1161.449,7297.597,0.596,-4.502,78.006,1.361,187.505,
1174.898,7382.099,0.587,-4.632,77.105,1.346,184.404,
1188.502,7467.58,0.578,-4.764,76.21,1.33,181.292,
1202.264,7554.05,0.569,-4.899,75.319,1.315,178.171,
1216.186,7641.522,0.56,-5.035,74.434,1.299,175.044,
1230.269,7730.007,0.551,-5.173,73.555,1.284,171.917,
1244.515,7819.516,0.542,-5.313,72.681,1.269,168.79,
1258.925,7910.062,0.534,-5.455,71.813,1.253,165.669,
1273.503,8001.656,0.525,-5.599,70.952,1.238,162.555,
1288.25,8094.311,0.516,-5.745,70.098,1.223,159.453,
1303.167,8188.038,0.507,-5.893,69.25,1.209,156.364,
1318.257,8282.851,0.499,-6.042,68.408,1.194,153.292,
1333.521,8378.762,0.49,-6.193,67.575,1.179,150.239,
1348.963,8475.784,0.482,-6.346,66.748,1.165,147.208,
1364.583,8573.929,0.473,-6.5,65.928,1.151,144.201,
1380.384,8673.21,0.465,-6.656,65.117,1.137,141.221,
1396.368,8773.641,0.456,-6.814,64.313,1.122,138.269,
1412.538,8875.235,0.448,-6.973,63.516,1.109,135.347,
1428.894,8978.006,0.44,-7.134,62.728,1.095,132.458,
1445.44,9081.966,0.432,-7.296,61.947,1.081,129.603,
1462.177,9187.13,0.424,-7.459,61.175,1.068,126.783,
1479.108,9293.512,0.416,-7.624,60.411,1.054,124,
1496.236,9401.126,0.408,-7.79,59.655,1.041,121.255,
1513.561,9509.986,0.4,-7.957,58.907,1.028,118.55,
1531.087,9620.106,0.392,-8.126,58.167,1.015,115.885,
1548.817,9731.502,0.385,-8.296,57.436,1.002,113.261,
1566.751,9844.187,0.377,-8.467,56.713,0.99,110.679,
1584.893,9958.178,0.37,-8.639,55.999,0.977,108.14,
1603.245,10073.488,0.363,-8.812,55.293,0.965,105.644,
1621.81,10190.133,0.355,-8.986,54.595,0.953,103.191,
1640.59,10308.13,0.348,-9.162,53.905,0.941,100.783,
1659.587,10427.492,0.341,-9.338,53.224,0.929,98.419,
1678.804,10548.237,0.334,-9.515,52.551,0.917,96.099,
1698.244,10670.38,0.328,-9.693,51.887,0.906,93.824,
1717.908,10793.937,0.321,-9.872,51.231,0.894,91.593,
1737.801,10918.925,0.314,-10.052,50.582,0.883,89.407,
1757.924,11045.36,0.308,-10.232,49.943,0.872,87.265,
1778.279,11173.259,0.302,-10.414,49.311,0.861,85.168,
1798.871,11302.639,0.295,-10.596,48.687,0.85,83.114,
1819.701,11433.518,0.289,-10.779,48.071,0.839,81.104,
1840.772,11565.912,0.283,-10.963,47.464,0.828,79.137,
1862.087,11699.839,0.277,-11.147,46.864,0.818,77.213,
1883.649,11835.316,0.271,-11.332,46.272,0.808,75.331,
1905.461,11972.363,0.266,-11.518,45.688,0.797,73.491,
1927.525,12110.996,0.26,-11.704,45.111,0.787,71.693,
1949.845,12251.235,0.254,-11.89,44.542,0.777,69.935,
1972.423,12393.098,0.249,-12.078,43.981,0.768,68.218,
1995.262,12536.603,0.244,-12.266,43.427,0.758,66.54,
2018.366,12681.77,0.238,-12.454,42.88,0.748,64.902,
2041.738,12828.618,0.233,-12.643,42.341,0.739,63.302,
2065.38,12977.166,0.228,-12.832,41.809,0.73,61.74,
2089.296,13127.435,0.223,-13.022,41.284,0.721,60.215,
2113.489,13279.443,0.218,-13.212,40.766,0.711,58.726,
2137.962,13433.212,0.214,-13.403,40.255,0.703,57.274,
2162.719,13588.761,0.209,-13.594,39.751,0.694,55.856,
2187.762,13746.112,0.205,-13.786,39.254,0.685,54.473,
2213.095,13905.284,0.2,-13.977,38.763,0.677,53.123,
2238.721,14066.3,0.196,-14.17,38.279,0.668,51.807,
2264.644,14229.18,0.191,-14.362,37.802,0.66,50.523,
2290.868,14393.946,0.187,-14.555,37.331,0.652,49.271,
2317.395,14560.62,0.183,-14.748,36.866,0.643,48.05,
2344.229,14729.224,0.179,-14.941,36.407,0.635,46.859,
2371.374,14899.78,0.175,-15.135,35.955,0.628,45.698,
2398.833,15072.312,0.171,-15.329,35.509,0.62,44.566,
2426.61,15246.841,0.167,-15.523,35.069,0.612,43.462,
2454.709,15423.391,0.164,-15.718,34.635,0.604,42.385,
2483.133,15601.985,0.16,-15.913,34.207,0.597,41.336,
2511.886,15782.648,0.157,-16.108,33.784,0.59,40.314,
2540.973,15965.402,0.153,-16.303,33.367,0.582,39.317,
2570.396,16150.273,0.15,-16.498,32.956,0.575,38.345,
2600.16,16337.284,0.146,-16.694,32.55,0.568,37.398,
2630.268,16526.461,0.143,-16.89,32.15,0.561,36.474,
2660.725,16717.829,0.14,-17.086,31.755,0.554,35.574,
2691.535,16911.412,0.137,-17.282,31.365,0.547,34.697,
2722.701,17107.237,0.134,-17.478,30.981,0.541,33.842,
2754.229,17305.329,0.131,-17.675,30.601,0.534,33.009,
2786.121,17505.716,0.128,-17.871,30.227,0.528,32.197,
